ECB Data Portal_20231103170545
DATE;TIME PERIOD;(LFSI.M.PL.N.UNEHRT.TOTAL0.25_74.T)
1997-01-31;1997Jan;10.404449
1997-02-28;1997Feb;10.395785
1997-03-31;1997Mar;10.257273
1997-04-30;1997Apr;9.878942
1997-05-31;1997May;9.426275
1997-06-30;1997Jun;9.207001
1997-07-31;1997Jul;9.067966
1997-08-31;1997Aug;8.819222
1997-09-30;1997Sep;8.525085
1997-10-31;1997Oct;8.278914
1997-11-30;1997Nov;8.261465
1997-12-31;1997Dec;8.438443
1998-01-31;1998Jan;8.757554
1998-02-28;1998Feb;9.018693
1998-03-31;1998Mar;9.020779
1998-04-30;1998Apr;8.785265
1998-05-31;1998May;8.442989
1998-06-30;1998Jun;8.264221
1998-07-31;1998Jul;8.248239
1998-08-31;1998Aug;8.213667
1998-09-30;1998Sep;8.203902
1998-10-31;1998Oct;8.304693
1998-11-30;1998Nov;8.552157
1998-12-31;1998Dec;8.975046
1999-01-31;1999Jan;9.790511
1999-02-28;1999Feb;10.629348
1999-03-31;1999Mar;11.031590
1999-04-30;1999Apr;11.075958
1999-05-31;1999May;10.930605
1999-06-30;1999Jun;10.893059
1999-07-31;1999Jul;11.015502
1999-08-31;1999Aug;11.146473
1999-09-30;1999Sep;11.258252
1999-10-31;1999Oct;11.407564
1999-11-30;1999Nov;11.727643
1999-12-31;1999Dec;12.255743
2000-01-31;2000Jan;13.131538
2000-02-29;2000Feb;13.889956
2000-03-31;2000Mar;14.237609
2000-04-30;2000Apr;14.007850
2000-05-31;2000May;13.609537
2000-06-30;2000Jun;13.235607
2000-07-31;2000Jul;12.889693
2000-08-31;2000Aug;12.603508
2000-09-30;2000Sep;12.556926
2000-10-31;2000Oct;12.726300
2000-11-30;2000Nov;13.150685
2000-12-31;2000Dec;13.736609
2001-01-31;2001Jan;14.588408
2001-02-28;2001Feb;14.984465
2001-03-31;2001Mar;15.274370
2001-04-30;2001Apr;15.335422
2001-05-31;2001May;15.140683
2001-06-30;2001Jun;14.968015
2001-07-31;2001Jul;14.598933
2001-08-31;2001Aug;14.379017
2001-09-30;2001Sep;14.348048
2001-10-31;2001Oct;14.536126
2001-11-30;2001Nov;15.022037
2001-12-31;2001Dec;15.640996
2002-01-31;2002Jan;16.544685
2002-02-28;2002Feb;16.921411
2002-03-31;2002Mar;17.076847
2002-04-30;2002Apr;17.013284
2002-05-31;2002May;16.504968
2002-06-30;2002Jun;16.637054
2002-07-31;2002Jul;16.553823
2002-08-31;2002Aug;16.392466
2002-09-30;2002Sep;16.246921
2002-10-31;2002Oct;16.123074
2002-11-30;2002Nov;16.281113
2002-12-31;2002Dec;16.616492
2003-01-31;2003Jan;17.182772
2003-02-28;2003Feb;17.286472
2003-03-31;2003Mar;17.084402
2003-04-30;2003Apr;16.532559
2003-05-31;2003May;16.075409
2003-06-30;2003Jun;16.017494
2003-07-31;2003Jul;16.112842
2003-08-31;2003Aug;16.073316
2003-09-30;2003Sep;15.946327
2003-10-31;2003Oct;15.846324
2003-11-30;2003Nov;16.101456
2003-12-31;2003Dec;16.658585
2004-01-31;2004Jan;17.505401
2004-02-29;2004Feb;17.632311
2004-03-31;2004Mar;17.420031
2004-04-30;2004Apr;16.688332
2004-05-31;2004May;16.099453
2004-06-30;2004Jun;15.859380
2004-07-31;2004Jul;15.661378
2004-08-31;2004Aug;15.454731
2004-09-30;2004Sep;15.290473
2004-10-31;2004Oct;15.233598
2004-11-30;2004Nov;15.329307
2004-12-31;2004Dec;15.645553
2005-01-31;2005Jan;16.074948
2005-02-28;2005Feb;16.230109
2005-03-31;2005Mar;16.068041
2005-04-30;2005Apr;15.658187
2005-05-31;2005May;15.278095
2005-06-30;2005Jun;15.139301
2005-07-31;2005Jul;15.105143
2005-08-31;2005Aug;14.985642
2005-09-30;2005Sep;14.831219
2005-10-31;2005Oct;14.582704
2005-11-30;2005Nov;14.461348
2005-12-31;2005Dec;14.366967
2006-01-31;2006Jan;14.237982
2006-02-28;2006Feb;13.814225
2006-03-31;2006Mar;13.328038
2006-04-30;2006Apr;12.651639
2006-05-31;2006May;11.989462
2006-06-30;2006Jun;11.503727
2006-07-31;2006Jul;11.302490
2006-08-31;2006Aug;11.113548
2006-09-30;2006Sep;10.812692
2006-10-31;2006Oct;10.492474
2006-11-30;2006Nov;10.304985
